@relation 'flight_data_new-weka.filters.unsupervised.attribute.Remove-R9-10,12-32,34-42-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute DEP_DELAY numeric
@attribute TAXI_OUT numeric
@attribute TAXI_IN numeric
@attribute ACTUAL_ELAPSED_TIME numeric
@attribute DISTANCE numeric
@attribute WHEELS_OFF_elapse numeric
@attribute WHEELS_ON_elapse numeric
@attribute FLIGHT_STATUS {0,1}
@attribute OP_CARRIER_Delta_Airlines numeric
@attribute MONTH_Nov numeric

@data
-6,12,6,83,404,12,6,0,0,0
-3,16,12,65,192,16,12,0,1,0
-4,10,5,223,1747,10,5,0,1,0
-4,12,8,101,591,12,8,0,1,0
-10,10,13,84,331,10,13,0,0,0
-4,19,10,64,143,19,10,0,0,0
-11,11,5,151,780,11,5,0,1,0
-2,12,10,124,516,12,10,0,1,0
2,11,4,120,594,11,4,0,1,0
-7,14,13,84,300,14,13,0,0,0
-11,28,7,67,152,28,7,0,0,0
-8,15,11,76,317,15,11,0,1,0
-6,16,10,106,547,16,10,0,1,0
-6,21,8,132,782,21,8,0,1,0
-2,13,6,82,425,13,6,0,1,0
0,15,7,208,1590,15,7,0,1,0
-2,14,6,81,404,14,6,0,0,0
-3,17,14,54,106,17,14,0,1,0
-7,18,5,136,762,18,5,0,1,1
-5,22,9,123,689,22,9,0,0,0
25,6,7,86,481,6,7,0,0,0
-11,23,12,124,666,23,12,0,0,0
-6,13,7,104,566,13,7,0,0,0
7,33,7,145,762,33,7,0,0,0
-9,17,8,102,545,17,8,0,1,0
0,27,15,129,594,27,15,0,1,0
4,17,7,113,547,17,7,0,1,1
-4,41,8,91,214,41,8,0,1,0
-6,22,11,109,551,22,11,0,0,0
-8,15,12,114,581,15,12,0,1,0
4,12,8,116,696,12,8,0,0,0
-7,9,7,94,554,9,7,0,1,0
4,15,8,113,694,15,8,0,0,0
-5,8,5,95,591,8,5,0,0,0
-5,15,7,120,774,15,7,0,0,0
-12,16,8,74,238,16,8,0,0,0
-5,10,8,101,526,10,8,0,0,0
-4,11,5,45,151,11,5,0,1,0
-6,14,5,97,589,14,5,0,0,0
-4,7,8,105,696,7,8,0,0,1
-6,14,10,120,689,14,10,0,0,0
-4,17,8,102,606,17,8,0,0,0
0,9,7,109,669,9,7,0,1,0
-4,26,10,96,352,26,10,0,0,0
1,22,8,148,762,22,8,0,1,1
-5,11,5,114,669,11,5,0,1,0
2,10,4,79,432,10,4,0,0,0
-6,26,6,95,404,26,6,0,0,0
-6,9,12,94,432,9,12,0,1,0
12,9,14,82,341,9,14,0,1,0
4,20,9,63,134,20,9,0,1,0
